Customer Id;Name;Password
00000000;Erdi;erdi123
87603366;680dbe;f872fd
54806579;4d2f2b;38d8a3
71032421;82711e;c93ffc
99387300;1f0709;33e2ca
63661671;8dd77f;b3a36f
10700129;349c46;153038
30500699;54e322;9fa21a
85566281;7a8aba;4b2a45
22542910;233c68;d236c6
33988177;659fd0;5ddcd1
14162471;874251;e28f91
47641909;a911a2;0453f6
56036641;31c23a;9320e1
41534274;3f186f;637a23
99420105;0e6e60;3d6390
92457003;8d4ba7;afa1ad
16894917;c6d92b;dd6497
54561258;0d9cd5;4056f7
82604033;e7fa1b;b44f86
17290838;dae080;e8fb73
32985935;0522f0;821c2a
81053588;904c0b;51fb22
12520709;96f604;fc1ed2
36086578;b5412b;3a1709
88598364;1c89e9;11237b
37572743;37722b;570ff1
71303136;357ae0;4c5fe1
33772305;b6d7fb;5714e4
46203591;8d9b0c;49d32a
37750627;b51e1e;87621c
73705250;7861e6;f6d0d7
95486259;a05919;2a4592
23088408;141f37;e8ae69
38565956;ee8e27;d4555a
97120118;90ec83;f23967
33197754;3ddc03;d7fa63
29043175;05b8f8;e5e8d9
74479969;2d76c4;18e3bc
11831590;f24717;3f3360
81481783;6317bf;c07262
85691697;7ab60d;12df29
87118317;6ca6fa;6dc95a
76021019;bfebc1;6254f0
61681569;c1e34b;cfcbef
49066370;30ba1e;47887f
60995109;78ea15;6445b5
65122885;7ab503;f01dbd
57056020;68615a;8d6d20
51018341;7d4a4f;6a554d
25133513;8a56c9;bf81bd
