Customer Id;Name;Password
00000000;Erdi;erdi123
80757576;512ad7;8562dd
26033673;8cc437;7cbda9
84907492;59df3c;cdfe7e
19425953;6f7eba;034095
19031087;776d0f;7d95f6
82413654;608161;bddeb6
38626236;1da49c;cf76da
80350717;1848cf;4ad680
96065557;f55465;e28c2b
58132936;94654e;03786b
55516937;8ee94d;50e746
22632237;9efff8;3ef625
94596620;8b6202;91cbcc
30436525;f25518;618944
92990042;373292;dbca14
64899597;39d0d5;577ea6
42828307;a9c551;b97128
25171138;f2da21;f8d0e5
30441706;5b2258;ed3749
16959126;fcbcb6;389560
34834956;8dfdbd;8fbe40
29366831;e1571b;1f5e0e
93446836;291a66;cc561e
42845834;7f208b;fbb80b
30286496;6aabc3;2a0282
39492822;da685b;356181
89303216;1be765;be14b2
79716190;d70c88;85a59b
29049512;959f41;fbf8f9
23152424;e7249f;66666b
52496504;570a07;ba136a
68840866;50c277;6ad40f
53172822;40a367;58569f
80344655;e1f2dc;f4003d
59072156;a3f424;4b4f24
15775316;351778;6046ba
79044919;6796d5;ae3f5a
31711594;55c4e5;4925c1
99540666;ea1821;eb712a
21890200;d07e7f;8aae06
68202685;35c005;167a6c
75112518;bfd1ec;dd2d6e
47799144;861584;29f355
89481579;dc86db;b2f4ce
32429755;16484a;1cc0bf
54686745;4570ac;67daed
52620589;92603d;d1319e
29843433;3046ae;e17e4d
63189722;d83bb0;768fd2
95883023;282f4b;297daa
